Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,JAX,Trevor Lawrence,QB,21,2023,0,1,2,34,34,50,1116,1750,11770,58,39,205,964,11,0,0,0,4,,,Clemson,College Stats,LawrTr00
1,2,NYJ,Zach Wilson,QB,22,2023,0,0,2,13,13,34,566,993,6293,23,25,93,498,5,1,2,1,1,,,BYU,College Stats,WilsZa00
1,3,SFO,Trey Lance,QB,21,2022,0,0,0,4,4,8,56,102,797,5,3,54,235,1,0,0,0,1,,,North Dakota St.,College Stats,LancTr00
1,4,ATL,Kyle Pitts,TE,20,2023,0,1,2,16,16,44,0,0,0,0,0,1,-4,0,149,2049,6,3,,,Florida,College Stats,PittKy00
1,5,CIN,Ja'Marr Chase,WR,21,2023,0,3,2,33,33,45,1,1,-7,0,0,15,23,0,268,3717,29,6,,,LSU,College Stats,ChasJa00
1,6,MIA,Jaylen Waddle,WR,22,2023,0,0,2,28,28,47,0,0,0,0,0,8,41,1,251,3385,18,4,,,Alabama,College Stats,WaddJa00
1,7,DET,Penei Sewell,OL,20,2023,1,2,2,37,37,50,0,0,0,0,0,0,0,0,1,9,0,,,,Oregon,College Stats,SewePe00
1,8,CAR,Jaycee Horn,DB,21,2023,0,0,1,8,8,22,0,0,0,0,0,0,0,0,0,0,0,60,4,,South Carolina,College Stats,HornJa00
1,9,DEN,Patrick Surtain II,DB,21,2023,1,2,2,28,28,50,0,0,0,0,0,0,0,0,0,0,0,150,7,,Alabama,College Stats,SurtPa01
1,10,PHI,DeVonta Smith,WR,22,2023,0,0,2,32,32,50,0,0,0,0,0,0,0,0,240,3178,19,1,,,Alabama,College Stats,SmitDe07
1,11,CHI,Justin Fields,QB,22,2023,0,0,1,34,34,40,578,958,6674,40,30,356,2220,14,0,0,0,,,,Ohio St.,College Stats,FielJu00
1,12,DAL,Micah Parsons,LB,22,2023,2,3,2,50,50,50,0,0,0,0,0,0,0,0,0,0,0,142,,40.5,Penn St.,College Stats,ParsMi00
1,13,LAC,Rashawn Slater,OL,22,2023,0,1,1,23,23,36,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats,SlatRa00
1,14,NYJ,Alijah Vera-Tucker,OL,22,2023,0,0,1,8,8,28,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats,VeraAl00
1,15,NWE,Mac Jones,QB,23,2023,0,1,2,24,24,42,864,1308,8918,46,36,117,327,1,0,0,0,1,,,Alabama,College Stats,JoneMa05
1,16,ARI,Zaven Collins,LB,22,2023,0,0,1,14,14,50,0,0,0,0,0,0,0,0,0,0,0,103,2,5.5,Tulsa,College Stats,CollZa00
1,17,LVR,Alex Leatherwood,OL,22,2022,0,0,1,8,8,21,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,LeatAl00
1,18,MIA,Jaelan Phillips,DL,22,2023,0,0,1,14,14,42,0,0,0,0,0,0,0,0,0,0,0,88,1,22.0,Miami (FL),College Stats,PhilJa02
1,19,WAS,Jamin Davis,LB,22,2023,0,0,1,16,16,45,0,0,0,0,0,0,0,0,0,0,0,166,1,7.0,Kentucky,College Stats,DaviJa11
