Player,Rnd,College/Univ,offense_snaps,Tm,Rec,TD,PF,Att
Sammy Watkins,1,Clemson,1026,BUF,65,6,343.0,579.0
Mike Evans,1,Texas A&M,769,TAM,68,12,277.0,531.0
Odell Beckham Jr.,1,LSU,771,NYG,91,12,380.0,607.0
Brandin Cooks,1,Oregon St.,533,NOR,53,3,401.0,659.0
Kelvin Benjamin,1,Florida St.,1049,CAR,73,9,339.0,545.0
Marqise Lee,2,USC,492,JAX,37,1,249.0,557.0
Jordan Matthews,2,Vanderbilt,765,PHI,67,8,474.0,621.0
Paul Richardson,2,Colorado,511,SEA,29,1,394.0,454.0
Davante Adams,2,Fresno St.,861,GNB,38,3,486.0,536.0
Cody Latimer,2,Indiana,37,DEN,2,0,482.0,607.0
Allen Robinson,2,Penn St.,516,JAX,48,2,249.0,557.0
Jarvis Landry,2,LSU,683,MIA,84,5,388.0,595.0
Josh Huff,3,Oregon,209,PHI,8,0,474.0,621.0
Donte Moncrief,3,Mississippi,535,IND,32,3,458.0,661.0
John Brown,3,Pittsburg St.,659,ARI,48,5,310.0,568.0
Jalen Saunders,4,Oklahoma,7,NYJ,1,0,283.0,498.0
Bruce Ellington,4,South Carolina,95,SFO,6,2,306.0,487.0
Martavis Bryant,4,Clemson,357,PIT,26,8,436.0,612.0
Kevin Norwood,4,Alabama,173,SEA,9,0,394.0,454.0
Ryan Grant,5,Tulane,178,WAS,7,0,301.0,547.0
Devin Street,5,Pittsburgh,153,DAL,2,0,467.0,476.0
Robert Herron,6,Wyoming,116,TAM,6,1,277.0,531.0
Michael Campanaro,7,Wake Forest,84,BAL,7,1,409.0,554.0
Jeff Janis,7,Saginaw Valley St.,15,GNB,2,0,486.0,536.0
James Wright,7,LSU,184,CIN,5,0,365.0,503.0
Amari Cooper,1,Alabama,901,OAK,72,6,359.0,605.0
DeVante Parker,1,Louisville,468,MIA,26,3,310.0,588.0
Nelson Agholor,1,USC,669,PHI,23,1,377.0,623.0
Phillip Dorsett,1,Miami (FL),211,IND,18,1,333.0,619.0
Devin Smith,2,Ohio St.,312,NYJ,9,1,387.0,604.0
Dorial Green-Beckham,2,Oklahoma,580,TEN,32,4,299.0,551.0
Tyler Lockett,3,Kansas St.,762,SEA,51,6,423.0,489.0
Jaelen Strong,3,Arizona St.,310,HOU,14,3,339.0,619.0
Chris Conley,3,Georgia,467,KAN,17,1,405.0,473.0
Sammie Coates,3,Auburn,61,PIT,1,0,423.0,590.0
Ty Montgomery,3,Stanford,242,GNB,15,2,368.0,573.0
Jamison Crowder,4,Duke,787,WAS,59,2,388.0,555.0
Justin Hardy,4,East Carolina,337,ATL,21,0,339.0,621.0
Vince Mayle,4,Washington St.,5,DAL,0,0,275.0,528.0
Rashad Greene,5,Florida St.,168,JAX,19,2,376.0,607.0
Stefon Diggs,5,Maryland,711,MIN,52,4,365.0,454.0
JJ Nelson,5,Ala-Birmingham,171,ARI,11,2,489.0,562.0
Keith Mumphery,5,Michigan St.,318,HOU,14,0,339.0,619.0
Geremy Davis,6,Connecticut,36,NYG,2,0,420.0,623.0
Darren Waller,6,Georgia Tech,45,BAL,2,0,328.0,676.0
Mario Alford,7,West Virginia,5,CIN,1,0,419.0,505.0
Tre McBride,7,William & Mary,55,TEN,2,1,299.0,551.0
Corey Coleman,1,Baylor,533,CLE,33,3,264.0,567.0
Will Fuller,1,Notre Dame,959,HOU,47,2,279.0,583.0
Josh Doctson,1,TCU,31,WAS,2,0,396.0,607.0
Laquon Treadwell,1,Mississippi,80,MIN,1,0,327.0,588.0
Sterling Shepard,2,Oklahoma,1070,NYG,65,8,310.0,598.0
Michael Thomas,2,Ohio St.,867,NOR,92,9,469.0,674.0
Tyler Boyd,2,Pittsburgh,739,CIN,54,1,325.0,563.0
Braxton Miller,3,Ohio St.,379,HOU,15,1,279.0,583.0
Leonte Carroo,3,Rutgers,120,MIA,3,1,363.0,477.0
Chris Moore,4,Cincinnati,162,BAL,7,0,343.0,679.0
Malcolm Mitchell,4,Georgia,638,NWE,32,4,441.0,550.0
Ricardo Louis,4,Auburn,316,CLE,18,0,264.0,567.0
Pharoh Cooper,4,South Carolina,210,LAR,14,0,224.0,536.0
Tajae Sharpe,5,Massachusetts,787,TEN,41,2,381.0,504.0
Jordan Payton,5,UCLA,32,CLE,1,0,264.0,567.0
Trevor Davis,5,California,117,GNB,3,1,432.0,620.0
